292,42296,7551533,349
374,18946,1710813,86
32,35775,53269950,1136
319,14722,2496153,66
351,8508,1343485,26
257,32405,6216967,212
368,29879,4183913,154
377,42155,5169099,202
171,12438,4087840,40
106,7791,3621538,29
100,30080,14860593,636
72,5676,3853918,25
52,11429,10036046,105
243,46011,9468701,450
472,7545,461142,12
411,43024,4810117,170
294,7852,1254953,24
339,12610,1278247,13
250,47844,8289874,597
415,10063,1377622,25
420,1117,3994,0
110,36677,15375424,759
258,36062,6466940,292
141,44417,14682472,766
346,12602,1793164,47
445,8226,833501,10
84,19531,11318345,236
101,47244,22942730,1272
160,29090,9153164,320
92,6839,3443917,26
169,25553,7200214,144
219,17907,3561733,33
396,12897,1167579,39
98,46311,22415557,1575
137,36107,11900558,327
234,45357,9469420,487
218,38183,8787699,293
173,39120,10076362,396
206,489,70450,0
257,34255,6239594,141
471,9586,880325,33
161,40025,11593045,458
143,6487,2045388,17
181,32926,8696594,314
12,9287,35255963,165
326,42415,5806051,140
34,17443,21817709,299
355,23773,2661820,43
321,29221,3975644,133
159,43340,14165346,826
226,34477,7362445,288
464,39721,4124478,289
350,30586,3838285,113
62,14438,12284011,164
260,33251,6312124,220
31,18473,28356847,422
72,43328,30238887,1105
402,20477,2807420,73
463,23736,2073432,125
378,41991,4534610,135
304,49741,7287019,451
140,9925,2761396,18
312,30871,5477114,110
330,35839,5036102,180
440,30334,3421107,217
90,16717,8875038,184
221,34811,8418148,276
345,2675,225792,3
93,18000,9892693,211
470,8713,736191,7
148,32111,9716799,246
466,1760,384752,2
23,34793,71859298,1311
485,17392,1206775,63
133,45465,17191918,1416
350,1820,337436,4
414,7476,897963,45
47,23039,22932228,458
43,43235,46906083,1730
175,2090,562423,2
308,26710,4069987,183
455,2412,305958,4
104,9972,3824197,79
86,26824,15617901,472
485,19804,1663186,74
422,9659,607093,12
481,48894,4909696,253
31,49926,77292152,2385
327,17140,2486568,65
149,44473,13383762,933
246,43861,8397805,382
176,41512,10485570,535
426,12165,1125359,34
52,47148,42140834,1595
93,29234,13871779,468
254,34385,7077528,202
166,41016,12648466,506
59,45772,37011565,1371
343,16972,2182652,49
414,44505,4537663,287
138,38342,12050405,718
90,23070,12010751,199
271,47512,8238702,530
220,8882,2141527,22
7,7756,47354101,233
172,30586,8245643,267
273,29249,4153808,130
416,30199,3015438,67
480,19321,1898082,49
330,30204,3447640,68
433,21568,2150680,109
437,14506,1609890,28
341,22132,2875777,94
176,23160,5515598,139
50,47715,49058586,1666
172,6766,1555914,17
484,16040,1155853,48
190,20020,4550213,63
202,6371,1101330,14
339,32997,4543899,185
194,49580,10573491,591
76,45764,29083726,1452
69,16044,10706312,129
34,46627,64417854,1571
124,19921,6671619,134
418,46845,4544530,142
121,33245,13655615,527
365,10441,653746,5
250,10016,2019440,56
165,6002,1795809,20
138,15508,5477989,69
167,3399,1074892,7
475,6813,459243,7
415,23236,2701542,112
32,21452,32238738,415
316,34072,5108712,185
143,10428,3567804,29
68,1581,1222783,1
386,4474,417403,6
180,17832,4588175,91
347,49726,7178850,489
429,28953,3164669,163
483,20067,1901677,105
447,18799,1855897,98
34,747,741332,1
192,26780,6603953,154
81,24583,13065987,229
399,47632,4617812,211
53,31106,27899059,401
55,29072,26466584,560
249,2064,474715,2
405,10967,911720,17
61,43235,35179280,1581
289,41823,7587883,274
465,40086,3796153,196
453,30198,3352293,189
102,33181,16038946,616
4,15707,148939893,1726
240,23597,4256863,59
37,33009,43080269,1059
33,43407,64393789,1681
449,42290,4755590,476
448,40244,4042853,251
274,10130,1172698,18
93,45483,23354122,1701
42,48756,54119662,1924
444,11761,1278576,43
180,22961,5926549,149
314,14429,1999376,46
402,9102,1168968,22
77,37249,22464249,841
141,2020,465571,2
402,9387,838487,26
61,2937,1618200,3
363,43659,5755499,330
55,33114,28790578,641
451,5836,400758,9
455,21811,2309555,59
233,49088,9597377,476
459,34872,3968170,241
192,407,85655,0
481,12576,1104638,35
380,39299,4160934,172
313,18852,2790070,83
174,38994,11535976,608
445,23733,2543197,115
10,47846,209257351,4548
352,21172,3104272,103
374,46149,5228197,147
356,9425,1293054,23
463,16764,1711351,61
100,26489,13411044,323
197,42501,10992392,553
471,49689,4780085,346
44,47901,51212839,1735
404,30168,3157224,154
134,31698,12170555,442
62,16615,13911737,192
175,14805,4193031,69
103,29470,13062267,367
401,27475,3673826,138
358,21482,2164502,93
176,10636,2175174,40
312,9206,1306623,30
238,47489,9533639,612
442,4289,183711,2
65,3020,2338226,9
309,41673,6768930,274
103,20069,9178571,192
298,7625,861680,7
115,7749,3353303,25
212,17483,3833341,42
236,14371,3343196,71
175,28969,8502935,256
10,5568,24143429,74
230,41377,8663660,464
71,4426,3494954,16
469,34803,3445077,186
206,5326,1073951,15
220,31309,7042705,213
280,9293,1559431,34
352,42950,5405630,251
12,36422,135468328,2212
491,8517,669532,19
225,29533,5248064,207
395,27070,3668153,150
315,19445,3387980,75
450,48828,5750906,355
266,801,135520,0
223,24364,5084330,138
445,48191,5733914,244
20,8132,18923217,96
187,22372,6004812,91
368,6783,643459,3
254,26214,4231389,58
369,14632,2081524,64
30,37959,57113413,1118
152,38524,13679184,652
218,31533,7362207,260
343,49439,7205124,363
27,15551,26930331,252
28,38599,66240510,1278
36,9727,12328708,105
192,49870,12633978,1012
382,10228,1136200,52
264,29004,4457234,111
415,44219,4206724,297
233,39203,7936351,339
90,4578,2236146,8
314,597,85073,0
466,6971,972046,21
272,48269,8721488,487
230,49559,10002132,740
329,8356,1390054,33
255,1983,310915,0
143,1070,367888,0
301,30924,4913736,167
206,6187,921997,22
199,11437,2240504,38
92,29334,14418119,400
405,38922,5186862,181
315,19137,2754495,118
500,16440,1376953,33
4,7782,72531165,502
230,25863,5403269,102
450,9870,997198,25
455,34449,4216858,228
279,16408,3090151,55
419,33462,4049118,176
277,7422,1372725,23
22,39111,84016107,1207
410,2600,176341,2
273,6866,814048,5
190,34703,8544790,378
65,46735,34345436,1684
322,37860,5674061,135
283,6883,1002393,17
457,9500,1166465,28
317,48764,6833916,240
287,23196,3738354,58
59,1954,1391741,4
14,16927,56804498,412
239,40039,7485615,209
321,40269,6236717,175
303,13501,1699406,54
402,23842,2670617,124
401,6169,773968,12
183,39513,8918323,259
415,45501,5104624,178
111,38629,16308844,854
384,22373,2740315,55
40,48227,58813151,1320
107,1780,742195,1
396,9105,831524,26
393,34410,5019761,220
234,6615,1121238,6
291,8621,1591610,35
269,44128,7078608,238
332,19684,2978153,103
182,703,98297,0
186,33925,8684764,394
296,45972,6298537,360
123,46061,19121913,1175
151,44698,13301177,956
303,37311,5313723,236
494,5174,401234,8
296,31698,5035907,171
129,36055,13909344,563
283,22750,3774787,91
18,7698,17184377,81
217,2175,397957,1
189,20957,5602519,95
478,6141,540346,5
244,9606,1612089,19
353,11285,1684952,22
466,41060,3792712,80
152,47215,14984590,1057
194,20111,4469038,94
472,29358,3136581,137
400,5332,316048,5
279,1478,199379,1
94,7083,3902553,34
231,48416,9652482,537
131,16550,6186867,102
284,38095,6102104,185
309,44273,6243629,324
272,3214,452808,3
175,25418,6745840,124
420,42099,4402388,255
393,26005,3214606,51
439,36824,4648496,258
55,8686,7004727,57
390,48743,6667195,226
222,49288,9901606,578
471,24020,2223891,68
220,16503,2917155,45
300,308,0,0
490,13727,1651936,56
265,39148,5586965,301
430,32690,2906995,184
433,35469,3413185,63
140,19351,5855696,131
66,13786,11801987,131
312,15249,2021675,43
245,22079,3827679,107
221,17656,3334815,78
71,8865,6479383,45
51,46468,44734337,1884
453,13225,1097899,22
480,1911,216170,2
129,19965,7820523,180
88,46916,24050827,1384
122,39133,15783527,784
141,25980,9138124,213
99,40364,19361663,979
54,41528,36236101,839
317,30914,4080247,146
500,5907,365027,7
482,4513,449583,8
424,11961,1470114,39
233,20503,2939929,32
460,1679,172338,2
16,26713,79575949,889
147,15309,5909387,103
284,49037,8411621,351
266,13828,2050963,62
22,7568,15625993,116
390,7039,509595,13
138,27484,9007576,234
186,41521,11434625,589
353,48336,6442169,407
407,4561,427947,5
57,1448,1035517,1
170,49244,13309551,1311
53,30953,28113857,721
333,21585,2660837,72
133,49270,16041481,1478
465,7727,631625,8
287,33441,4603391,283
274,42084,7332378,363
497,44989,4538779,298
240,45566,9668970,486
112,16160,7810371,114
94,41432,20426285,1218
368,32045,3969940,88
158,37152,12323312,461
358,33011,4333842,162
166,31855,9066510,304
194,28840,8043430,222
312,12810,1737465,65
184,16299,4523144,89
206,44079,9372695,623
224,35140,7378705,265
215,31320,7330066,209
497,19043,1714145,58
65,20505,15077068,200
73,31815,21720557,659
453,37146,2991042,62
209,25284,5188138,102
132,49266,17742895,1085
460,19484,1823993,91
411,45720,5101158,108
195,2468,583418,3
3,8318,87879694,593
287,45964,7340903,274
128,45535,17318330,1061
457,37688,3633629,71
52,17288,16094999,212
135,46247,15964110,1247
8,3806,19133915,50
77,10024,7052644,58
445,11624,814776,9
140,37057,11784148,333
454,48038,5830059,407
258,16793,3274418,72
444,26717,2651033,137
291,46634,6754507,385
167,17982,4465387,85
365,47373,4985823,301
377,35110,4894438,205
66,47942,35515451,1713
203,43362,11251856,650
490,27031,2396696,122
471,5071,477712,9
69,25919,19692597,487
121,10855,3330088,44
271,36273,6358851,137
474,24721,2096484,85
194,26917,6430590,120
171,32321,9637237,352
247,4792,873568,8
10,43945,198212663,3893
86,9140,4948000,31
156,3424,1106608,6
32,30563,43531635,996
173,47344,12563687,633
69,48035,32484972,1777
12,11797,43943768,215
350,13026,1424252,13
422,37236,4563363,176
339,21282,3177105,68
23,1241,2543281,3
130,21400,7760351,148
29,11276,17336147,154
129,24249,9005749,264
232,3607,751468,4
345,6591,940473,16
290,38015,6071041,242
304,28117,4043826,155
188,43120,10656623,984
410,27147,3299831,227
74,3875,3389692,13
391,3038,350522,4
97,21024,8798343,150
305,38370,5799760,195
379,24361,2721538,102
272,15792,2338875,76
7,2186,12798590,21
63,37408,27510888,1116
229,26562,5065816,96
199,27965,6134940,123
277,42709,6732202,225
99,11630,4937246,66
435,44734,5525791,290
87,11184,6246218,85
382,39724,5608980,148
342,34967,4971597,186
185,13741,3557118,50
387,2769,330026,4
312,16280,2864588,66
491,1511,0,0
62,9888,7865878,63
29,39124,65367474,1505
80,11036,6874955,76
162,47210,14058646,758
332,45500,6657103,327
171,24652,6706635,164
166,29746,9776561,348
24,20386,39619021,425
478,4766,512317,12
186,30185,8366923,210
334,28898,4185417,140
294,26979,4749689,177
175,12273,2846844,24
364,22438,2663796,48
268,41522,7224934,407
216,4050,774851,4
149,15357,4940872,79
443,20623,2137371,81
186,3414,733003,5
32,17595,27453210,357
438,10801,1076454,34
48,23606,21130051,349
282,11042,1478781,17
271,19393,3222705,60
405,42454,4870177,331
455,8383,816934,17
390,8619,911715,16
