292,42296,7551533,352
374,18946,1710813,85
32,35775,53269950,1493
319,14722,2496153,64
351,8508,1343485,25
257,32405,6216967,231
368,29879,4183913,150
377,42155,5169099,361
171,12438,4087840,45
106,7791,3621538,38
100,30080,14860593,851
72,5676,3853918,24
52,11429,10036046,104
243,46011,9468701,517
472,7545,461142,22
411,43024,4810117,230
294,7852,1254953,24
339,12610,1278247,13
250,47844,8289874,633
415,10063,1377622,29
420,1117,3994,0
110,36677,15375424,1015
258,36062,6466940,300
141,44417,14682472,1208
346,12602,1793164,46
445,8226,833501,10
84,19531,11318345,260
101,47244,22942730,1974
160,29090,9153164,372
92,6839,3443917,29
169,25553,7200214,167
219,17907,3561733,37
396,12897,1167579,45
98,46311,22415557,2415
137,36107,11900558,324
234,45357,9469420,696
218,38183,8787699,292
173,39120,10076362,535
206,489,70450,1
257,34255,6239594,168
471,9586,880325,33
161,40025,11593045,466
143,6487,2045388,18
181,32926,8696594,472
12,9287,35255963,157
326,42415,5806051,133
34,17443,21817709,365
355,23773,2661820,45
321,29221,3975644,217
159,43340,14165346,1118
226,34477,7362445,484
464,39721,4124478,434
350,30586,3838285,133
62,14438,12284011,193
260,33251,6312124,287
31,18473,28356847,427
72,43328,30238887,1379
402,20477,2807420,75
463,23736,2073432,171
378,41991,4534610,117
304,49741,7287019,684
140,9925,2761396,18
312,30871,5477114,160
330,35839,5036102,454
440,30334,3421107,344
90,16717,8875038,194
221,34811,8418148,492
345,2675,225792,6
93,18000,9892693,264
470,8713,736191,8
148,32111,9716799,477
466,1760,384752,3
23,34793,71859298,1921
485,17392,1206775,111
133,45465,17191918,1565
350,1820,337436,2
414,7476,897963,36
47,23039,22932228,454
43,43235,46906083,2001
175,2090,562423,3
308,26710,4069987,183
455,2412,305958,4
104,9972,3824197,58
86,26824,15617901,571
485,19804,1663186,74
422,9659,607093,12
481,48894,4909696,287
31,49926,77292152,2745
327,17140,2486568,149
149,44473,13383762,1231
246,43861,8397805,512
176,41512,10485570,763
426,12165,1125359,59
52,47148,42140834,1805
93,29234,13871779,567
254,34385,7077528,295
166,41016,12648466,634
59,45772,37011565,1731
343,16972,2182652,68
414,44505,4537663,362
138,38342,12050405,870
90,23070,12010751,237
271,47512,8238702,724
220,8882,2141527,20
7,7756,47354101,236
172,30586,8245643,460
273,29249,4153808,176
416,30199,3015438,83
480,19321,1898082,88
330,30204,3447640,98
433,21568,2150680,99
437,14506,1609890,26
341,22132,2875777,77
176,23160,5515598,138
50,47715,49058586,2293
172,6766,1555914,20
484,16040,1155853,106
190,20020,4550213,79
202,6371,1101330,16
339,32997,4543899,192
194,49580,10573491,846
